Protein.ID,Gene.name,LFQ.Control_04dpi_1,LFQ.Control_04dpi_2,LFQ.Control_04dpi_3,LFQ.Control_04dpi_4,LFQ.Control_04dpi_5,LFQ.Control_07dpi_1,LFQ.Control_07dpi_2,LFQ.Control_07dpi_3,LFQ.Control_07dpi_4,LFQ.Control_07dpi_5,LFQ.Control_12dpi_1,LFQ.Control_12dpi_2,LFQ.Control_12dpi_3,LFQ.Control_12dpi_4,LFQ.Control_12dpi_5,LFQ.F13_Mut_04dpi_1,LFQ.F13_Mut_04dpi_2,LFQ.F13_Mut_04dpi_3,LFQ.F13_Mut_04dpi_4,LFQ.F13_Mut_04dpi_5,LFQ.F13_Mut_07dpi_2,LFQ.F13_Mut_07dpi_3,LFQ.F13_Mut_07dpi_4,LFQ.F13_Mut_07dpi_5,LFQ.F13_Mut_12dpi_1,LFQ.F13_Mut_12dpi_2,LFQ.F13_Mut_12dpi_3,LFQ.F13_Mut_12dpi_4,LFQ.F13_Mut_12dpi_5,LFQ.F13_WT_04dpi_1,LFQ.F13_WT_04dpi_2,LFQ.F13_WT_04dpi_3,LFQ.F13_WT_04dpi_4,LFQ.F13_WT_07dpi_1,LFQ.F13_WT_07dpi_2,LFQ.F13_WT_07dpi_3,LFQ.F13_WT_07dpi_4,LFQ.F13_WT_07dpi_5,LFQ.F13_WT_12dpi_1,LFQ.F13_WT_12dpi_2,LFQ.F13_WT_12dpi_3,LFQ.F13_WT_12dpi_4,LFQ.F13_WT_12dpi_5,LFQ.GHu_Mut_04dpi_1,LFQ.GHu_Mut_04dpi_2,LFQ.GHu_Mut_04dpi_3,LFQ.GHu_Mut_04dpi_4,LFQ.GHu_Mut_04dpi_5,LFQ.GHu_Mut_07dpi_1,LFQ.GHu_Mut_07dpi_2,LFQ.GHu_Mut_07dpi_3,LFQ.GHu_Mut_07dpi_4,LFQ.GHu_Mut_07dpi_5,LFQ.GHu_Mut_12dpi_1,LFQ.GHu_Mut_12dpi_2,LFQ.GHu_Mut_12dpi_3,LFQ.GHu_Mut_12dpi_4,LFQ.GHu_Mut_12dpi_5,LFQ.GHu_WT_04dpi_1,LFQ.GHu_WT_04dpi_2,LFQ.GHu_WT_04dpi_3,LFQ.GHu_WT_04dpi_4,LFQ.GHu_WT_04dpi_5,LFQ.GHu_WT_07dpi_1,LFQ.GHu_WT_07dpi_2,LFQ.GHu_WT_07dpi_3,LFQ.GHu_WT_07dpi_4,LFQ.GHu_WT_07dpi_5,LFQ.GHu_WT_12dpi_1,LFQ.GHu_WT_12dpi_2,LFQ.GHu_WT_12dpi_3,LFQ.GHu_WT_12dpi_4,LFQ.GHu_WT_12dpi_5
    sp|P35685|RL7A_ORYSJ *-*- 60S ribosomal protein L7a IPR001921 (Ribosomal protein L7A/L8),Niben101Scf00177g08006.1,2,2,2,2,2,2,2,2,2,3,4,3,3,2,3,2,3,2,4,2,3,4,2,2,3,3,3,2,3,2,3,3,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,1,3,3,3,2,2,2,1,3,2,2,2,0,1,4,3,2,3,2,2,4,2,3,2,2,2
"    sp|P35685|RL7A_ORYSJ ***- 60S ribosomal protein L7a IPR018492 (Ribosomal protein L7Ae/L8/Nhp2 family), IPR029064 (50S ribosomal protein L30e-like) GO:0030529 (ribonucleoprotein complex), GO:0042254 (ribosome biogenesis)",Niben101Scf06105g01001.1,0,1,0,1,1,2,2,0,1,1,2,3,1,4,0,0,0,0,2,1,1,0,1,0,0,4,4,0,1,0,0,1,1,0,0,2,0,3,4,0,0,0,0,4,1,0,0,1,1,0,0,1,0,1,0,3,0,0,1,2,0,1,1,0,1,2,0,0,0,0,0,0,0
"    sp|P35685|RL7A_ORYSJ ***- 60S ribosomal protein L7a IPR001921 (Ribosomal protein L7A/L8), IPR029064 (50S ribosomal protein L30e-like)",Niben101Scf06506g02013.1,0,,1,0,1,0,1,0,0,1,1,1,,0,1,1,0,0,2,1,0,2,0,0,0,2,2,2,2,0,1,,0,1,0,0,0,0,1,1,0,0,1,0,1,,,,1,1,0,1,1,,0,2,1,,0,0,0,2,0,2,1,,1,0,3,1,1,,0
"Cluster of sp|Q9LZG0|ADK2_ARATH **** Adenosine kinase 2 IPR001805 (Adenosine kinase), IPR029056 (Ribokinase-like) GO:0004001 (adenosine kinase activity), GO:0006166 (purine ribonucleoside salvage), GO:0016773 (phosphotransferase activity, alcohol group as acceptor) (Niben101Scf04090g01002.1)",Niben101Scf04090g01002.1 [2],22,27,32,24,23,18,29,19,18,20,23,26,26,32,23,16,25,21,25,27,20,26,26,16,25,33,33,22,32,13,26,24,32,17,25,25,19,31,22,17,17,16,21,24,25,20,23,30,27,28,27,19,27,15,22,25,22,19,21,21,25,27,30,24,25,22,20,20,19,14,18,18,17
"    sp|Q9LZG0|ADK2_ARATH **** Adenosine kinase 2 IPR001805 (Adenosine kinase), IPR029056 (Ribokinase-like) GO:0004001 (adenosine kinase activity), GO:0006166 (purine ribonucleoside salvage), GO:0016773 (phosphotransferase activity, alcohol group as acceptor)",Niben101Scf04090g01002.1,15,20,25,19,17,12,22,13,14,15,17,19,19,27,16,11,18,13,20,20,16,19,20,12,18,27,27,18,26,9,18,17,25,12,17,20,15,25,19,12,14,12,16,16,18,14,16,24,20,22,18,15,23,9,17,17,16,14,13,15,17,21,23,17,18,15,15,15,15,10,16,14,16
"    sp|Q9LZG0|ADK2_ARATH **** Adenosine kinase 2 IPR001805 (Adenosine kinase), IPR029056 (Ribokinase-like) GO:0004001 (adenosine kinase activity), GO:0006166 (purine ribonucleoside salvage), GO:0016773 (phosphotransferase activity, alcohol group as acceptor)",Niben101Scf04652g00002.1,21,21,25,17,18,12,22,14,12,16,18,20,22,24,17,14,18,15,17,20,14,19,18,14,20,24,24,17,22,10,22,16,25,14,19,20,16,22,16,13,12,11,15,19,20,14,19,24,21,20,22,15,20,11,15,19,18,15,18,15,19,20,23,18,18,15,16,16,12,11,14,13,15
"Cluster of sp|Q9LZG0|ADK2_ARATH **** Adenosine kinase 2 IPR001805 (Adenosine kinase), IPR029056 (Ribokinase-like) GO:0004001 (adenosine kinase activity), GO:0006166 (purine ribonucleoside salvage), GO:0016773 (phosphotransferase activity, alcohol group as acceptor) (Niben101Scf05442g02007.1)",Niben101Scf05442g02007.1 [2],9,7,5,7,7,4,7,3,3,8,5,7,9,13,6,4,6,2,6,8,5,6,6,6,6,7,7,6,10,4,11,8,10,7,5,8,7,9,6,4,4,3,5,5,6,2,6,4,6,9,8,6,9,2,4,6,8,5,5,4,3,6,9,6,3,4,4,7,4,3,11,3,8
"    sp|Q9LZG0|ADK2_ARATH **** Adenosine kinase 2 IPR001805 (Adenosine kinase), IPR029056 (Ribokinase-like) GO:0004001 (adenosine kinase activity), GO:0006166 (purine ribonucleoside salvage), GO:0016773 (phosphotransferase activity, alcohol group as acceptor)",Niben101Scf05442g02007.1,9,7,5,7,7,4,7,3,3,8,5,7,9,13,6,4,6,2,6,8,5,6,6,6,6,7,7,6,10,4,11,8,10,7,5,8,7,9,6,4,4,3,5,5,6,2,6,4,6,9,8,6,9,2,4,6,8,5,5,4,3,6,9,6,3,4,4,7,4,3,11,3,8
"    sp|Q9LZG0|ADK2_ARATH **** Adenosine kinase 2 IPR001805 (Adenosine kinase), IPR029056 (Ribokinase-like) GO:0004001 (adenosine kinase activity), GO:0006166 (purine ribonucleoside salvage), GO:0016773 (phosphotransferase activity, alcohol group as acceptor)",Niben101Scf25706g00003.1,8,7,5,6,6,4,6,2,3,7,5,6,9,11,6,3,5,2,5,8,5,4,5,5,6,5,5,6,10,4,11,7,9,7,5,8,7,7,5,4,4,2,5,4,6,2,6,4,5,8,8,6,8,1,4,6,7,5,5,4,3,5,9,6,3,4,4,6,4,3,10,2,5
"sp|Q9LZB2|GDL74_ARATH ***- GDSL esterase/lipase IPR013830 (SGNH hydrolase-type esterase domain) GO:0006629 (lipid metabolic process), GO:0016788 (hydrolase activity, acting on ester bonds)",Niben101Scf01191g04002.1,5,5,4,7,6,8,6,6,4,4,6,5,6,6,5,6,5,6,4,7,3,6,6,8,7,6,6,7,7,4,6,6,6,2,5,3,5,4,4,4,5,6,7,5,6,6,7,5,4,6,6,7,5,5,4,5,4,5,7,5,6,7,5,6,4,6,7,6,6,6,5,3,7
"sp|Q9LZB2|GDL74_ARATH ***- GDSL esterase/lipase IPR013830 (SGNH hydrolase-type esterase domain) GO:0006629 (lipid metabolic process), GO:0016788 (hydrolase activity, acting on ester bonds)",Niben101Scf01670g02001.1,,1,,0,1,1,1,1,,1,0,,0,,1,,,,,,,0,0,0,1,1,1,1,1,0,0,,2,,,,1,0,,,1,0,2,,,,,0,,2,2,1,2,,,0,,1,,0,0,1,,2,,,0,2,0,1,1,1,2
"Cluster of sp|Q9LYK9|RS263_ARATH ***- 40S ribosomal protein S26-3 IPR000892 (Ribosomal protein S26e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation) (Niben101Scf02316g00021.1)",Niben101Scf02316g00021.1 [5],2,2,3,1,0,0,2,1,2,2,1,3,2,1,0,0,0,2,2,2,0,1,2,0,2,3,3,3,0,1,1,0,1,0,0,1,0,1,1,2,0,2,0,2,2,1,0,0,1,3,0,3,1,1,2,2,0,1,,1,2,5,3,0,0,1,2,1,0,1,1,1,2
"    sp|Q9LYK9|RS263_ARATH ***- 40S ribosomal protein S26-3 IPR000892 (Ribosomal protein S26e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf02316g00021.1 (+1),2,2,3,1,0,0,2,1,2,2,1,3,2,1,0,0,0,2,2,2,0,1,2,0,2,3,3,3,0,1,1,0,1,0,0,1,0,1,1,2,0,2,0,2,2,1,0,0,1,3,0,3,1,1,2,2,0,1,,1,2,5,3,0,0,1,2,1,0,1,1,1,2
"    sp|Q9LYK9|RS263_ARATH ***- 40S ribosomal protein S26-3 IPR000892 (Ribosomal protein S26e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf23557g00013.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q9LYK9|RS263_ARATH ***- 40S ribosomal protein S26-3 IPR000892 (Ribosomal protein S26e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf04181g00025.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q8LPJ7|RS262_ARATH ***- 40S ribosomal protein S26-2 IPR000892 (Ribosomal protein S26e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf03842g01014.1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|Q9LXT3|MBF1B_ARATH ***- Multiprotein-bridging factor 1b IPR010982 (Lambda repressor-like, DNA-binding domain), IPR013729 (Multiprotein bridging factor 1, N-terminal) GO:0003677 (DNA binding), GO:0043565 (sequence-specific DNA binding) (Niben101Scf00212g01015.1)",Niben101Scf00212g01015.1 [5],7,4,3,3,5,4,3,5,3,2,6,4,8,5,3,6,4,3,5,4,5,3,3,5,6,7,7,8,8,5,2,2,0,1,6,6,4,4,3,2,6,5,2,3,3,4,6,5,2,4,7,5,5,3,3,5,6,2,7,7,5,7,3,4,5,4,5,5,7,3,5,4,3
"    sp|Q9LXT3|MBF1B_ARATH ***- Multiprotein-bridging factor 1b IPR010982 (Lambda repressor-like, DNA-binding domain), IPR013729 (Multiprotein bridging factor 1, N-terminal) GO:0003677 (DNA binding), GO:0043565 (sequence-specific DNA binding)",Niben101Scf00212g01015.1 (+1),6,4,3,3,3,3,2,4,3,2,6,3,6,4,2,4,4,3,4,2,3,3,3,4,5,6,6,6,6,4,2,2,0,1,5,4,4,3,2,1,4,5,2,2,3,3,5,4,2,2,5,4,3,3,3,5,4,2,6,6,3,6,2,4,5,3,4,4,5,2,3,3,2
"    sp|Q9LXT3|MBF1B_ARATH ***- Multiprotein-bridging factor 1b IPR010982 (Lambda repressor-like, DNA-binding domain), IPR013729 (Multiprotein bridging factor 1, N-terminal) GO:0003677 (DNA binding), GO:0043565 (sequence-specific DNA binding)",Niben101Scf04236g00019.1,7,4,2,2,5,4,3,5,3,2,4,3,6,3,3,5,3,2,5,4,5,3,3,5,4,5,5,6,6,5,2,2,,1,5,4,3,4,3,2,6,4,2,3,2,4,6,3,2,4,5,4,5,2,2,4,5,2,5,5,4,6,3,3,4,4,4,5,6,3,5,3,3
"    sp|Q9LXT3|MBF1B_ARATH ***- Multiprotein-bridging factor 1b IPR010982 (Lambda repressor-like, DNA-binding domain), IPR013729 (Multiprotein bridging factor 1, N-terminal) GO:0003677 (DNA binding), GO:0043565 (sequence-specific DNA binding)",Niben101Ctg15295g00003.1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q9LXT3|MBF1B_ARATH ***- Multiprotein-bridging factor 1b IPR010982 (Lambda repressor-like, DNA-binding domain), IPR013729 (Multiprotein bridging factor 1, N-terminal) GO:0003677 (DNA binding), GO:0043565 (sequence-specific DNA binding)",Niben101Scf02049g01002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|Q9LX65|VATH_ARATH **** V-type proton ATPase subunit H IPR004908 (ATPase, V1 complex, subunit H) GO:0000221 (vacuolar proton-transporting V-type ATPase, V1 domain), GO:0005488 (binding), GO:0005515 (protein binding), GO:0015991 (ATP hydrolysis coupled proton transport), GO:0016820 (hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances), GO:0046961 (proton-transporting ATPase activity, rotational mechanism) (Niben101Scf05819g00007.1)",Niben101Scf05819g00007.1 [2],0,,4,2,,2,1,0,2,2,3,4,4,1,1,,0,1,4,3,0,0,2,,4,7,7,0,2,,0,0,0,1,0,0,1,2,3,,,0,0,3,1,1,2,1,5,,0,0,1,1,0,8,,0,2,3,1,1,5,2,0,4,,1,0,1,1,1,
"    sp|Q9LX65|VATH_ARATH **** V-type proton ATPase subunit H IPR004908 (ATPase, V1 complex, subunit H) GO:0000221 (vacuolar proton-transporting V-type ATPase, V1 domain), GO:0005488 (binding), GO:0005515 (protein binding), GO:0015991 (ATP hydrolysis coupled proton transport), GO:0016820 (hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances), GO:0046961 (proton-transporting ATPase activity, rotational mechanism)",Niben101Scf05819g00007.1,,,4,2,,2,1,,2,2,3,4,4,1,1,,,1,4,3,,0,2,,4,7,7,,2,,,0,,1,0,0,1,2,3,,,,,3,1,1,2,1,4,,,,1,1,,8,,,2,3,1,1,5,2,,4,,1,,1,1,1,
"    sp|Q9LX65|VATH_ARATH **** V-type proton ATPase subunit H IPR004908 (ATPase, V1 complex, subunit H) GO:0000221 (vacuolar proton-transporting V-type ATPase, V1 domain), GO:0005488 (binding), GO:0005515 (protein binding), GO:0015991 (ATP hydrolysis coupled proton transport), GO:0016820 (hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances), GO:0046961 (proton-transporting ATPase activity, rotational mechanism)",Niben101Scf01382g05008.1,0,,4,2,,1,1,,2,2,3,4,2,1,0,,0,1,2,3,0,0,2,,3,4,4,0,2,,0,0,0,1,0,0,1,1,2,,,0,0,3,1,1,2,1,4,,0,0,0,1,0,7,,0,2,3,1,1,5,2,0,4,,1,0,1,1,1,
"Cluster of sp|Q9LW00|MBD11_ARATH *-** Methyl-CpG-binding domain-containing protein 11 IPR016177 (DNA-binding domain) GO:0003677 (DNA binding), GO:0005634 (nucleus) (Niben101Scf02112g01004.1)",Niben101Scf02112g01004.1 [2],3,2,2,2,3,3,4,4,1,1,2,2,1,3,3,2,0,2,2,2,1,3,1,1,3,5,5,6,1,1,2,3,2,2,3,1,1,2,1,2,1,0,2,0,2,0,4,0,3,2,3,3,2,3,3,4,3,1,3,1,2,1,0,1,3,2,3,2,6,1,1,2,2
"    sp|Q9LW00|MBD11_ARATH *-** Methyl-CpG-binding domain-containing protein 11 IPR016177 (DNA-binding domain) GO:0003677 (DNA binding), GO:0005634 (nucleus)",Niben101Scf02112g01004.1,3,2,2,2,3,3,4,4,1,1,2,2,1,3,3,2,0,2,2,2,1,3,1,1,3,5,5,6,1,1,2,3,2,2,3,1,1,2,1,2,1,0,2,0,2,0,4,0,3,2,3,3,2,3,3,4,3,1,3,1,2,1,0,1,3,2,3,2,6,1,1,2,2
"    sp|Q9LW00|MBD11_ARATH *-** Methyl-CpG-binding domain-containing protein 11 IPR016177 (DNA-binding domain) GO:0003677 (DNA binding), GO:0005634 (nucleus)",Niben101Scf03737g02007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sp|Q9LVA0|BAG7_ARATH *-*- BAG family molecular chaperone regulator 7 IPR000048 (IQ motif, EF-hand binding site) GO:0005515 (protein binding)",Niben101Scf03853g03014.1,,,,,,3,3,,,,,2,,,,,,3,,,,,,,3,3,3,,,,,2,2,,,,,,,,,,,,,0,,,3,,3,,2,3,,2,,,,,,,2,,,,,,,3,2,,
"sp|Q9LVA0|BAG7_ARATH ***- BAG family molecular chaperone regulator 7 IPR000048 (IQ motif, EF-hand binding site) GO:0005515 (protein binding)",Niben101Scf00400g00006.1,1,1,2,2,,3,3,3,2,3,4,4,4,3,2,0,1,4,4,5,1,3,2,2,7,5,5,3,2,,4,3,5,2,2,1,3,2,4,0,,3,1,3,6,1,2,2,4,3,3,2,4,4,3,3,,,2,1,2,4,4,2,3,2,0,2,3,4,3,2,
"Cluster of sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site), IPR027547 (Ribosomal protein L19/L19e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation) (Niben101Scf01623g02014.1)",Niben101Scf01623g02014.1 [8],12,12,16,8,7,11,10,6,11,9,13,13,15,11,10,7,8,10,16,11,6,8,10,6,12,10,10,15,13,8,12,11,14,7,9,9,11,10,13,10,11,10,15,12,15,12,9,11,9,11,11,9,14,10,12,13,8,11,6,13,10,12,11,13,12,13,11,9,9,8,10,12,8
"    sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site), IPR027547 (Ribosomal protein L19/L19e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf01623g02014.1,8,7,11,4,4,7,6,3,7,5,9,7,10,6,5,5,4,7,10,8,3,6,5,3,7,6,6,10,7,4,9,8,9,4,6,5,7,5,9,5,7,5,8,7,10,9,5,7,5,5,7,4,9,6,7,9,4,7,5,9,6,7,7,7,7,9,6,5,5,5,6,7,5
"    sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site), IPR027547 (Ribosomal protein L19/L19e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf01430g01004.1,6,7,8,4,4,7,4,4,7,5,9,7,7,6,5,3,4,7,10,8,3,4,5,2,7,6,6,9,7,4,8,8,9,3,5,5,7,5,7,5,7,5,8,7,8,8,5,7,5,5,7,4,7,6,7,8,4,7,4,7,3,7,6,7,6,6,6,5,5,5,6,7,5
"    sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site), IPR027547 (Ribosomal protein L19/L19e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf03523g01022.1,5,7,8,4,,6,3,3,7,5,9,6,7,4,5,2,3,6,10,7,2,5,5,3,7,6,6,9,7,4,7,7,9,3,6,5,7,4,6,5,7,5,8,7,8,7,5,7,5,5,7,3,6,6,6,8,,7,3,7,4,6,6,7,6,8,6,5,5,4,6,7,4
"    sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site), IPR027547 (Ribosomal protein L19/L19e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf03706g02013.1,7,6,7,2,3,6,3,2,5,3,7,7,6,4,4,3,2,5,10,6,1,5,4,1,6,4,4,8,7,2,6,6,8,3,4,3,5,4,6,4,5,4,8,6,7,6,3,5,3,5,5,3,7,4,7,6,3,5,3,5,3,7,4,7,5,5,4,3,3,3,4,6,3
"    sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site), IPR027547 (Ribosomal protein L19/L19e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf03390g04001.1,6,5,6,2,2,5,2,2,5,3,7,6,5,3,3,2,3,5,8,6,1,4,3,1,5,4,4,7,5,,6,6,7,2,4,3,5,4,5,3,5,3,7,5,6,6,3,5,3,3,5,2,5,4,5,6,3,5,3,5,2,5,4,5,4,5,5,3,,3,4,5,3
"    sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site), IPR027547 (Ribosomal protein L19/L19e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf08334g01005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site), IPR027547 (Ribosomal protein L19/L19e) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf02267g00005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"    sp|Q9LUQ6|RL192_ARATH ***- 60S ribosomal protein L19-2 IPR000196 (Ribosomal protein L19/L19e domain), IPR023638 (Ribosomal protein L19/L19e conserved site) GO:0003735 (structural constituent of ribosome), GO:0005622 (intracellular), GO:0005840 (ribosome), GO:0006412 (translation)",Niben101Scf03070g03006.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|Q9LU39|GLUBP_ARATH **** Glutamyl-tRNA reductase-binding protein, chloroplastic IPR012349 (FMN-binding split barrel) GO:0010181 (FMN binding), GO:0016491 (oxidoreductase activity), GO:0055114 (oxidation-reduction process) (Niben101Scf07741g02033.1)",Niben101Scf07741g02033.1 [2],3,1,2,3,2,2,5,1,0,1,1,1,2,0,1,1,3,4,3,1,0,4,2,2,2,1,1,3,3,0,1,1,1,1,2,0,1,3,3,3,2,1,2,4,2,2,2,1,3,2,1,1,1,3,2,1,2,0,2,2,3,2,1,2,3,2,1,2,1,1,2,0,2
"    sp|Q9LU39|GLUBP_ARATH **** Glutamyl-tRNA reductase-binding protein, chloroplastic IPR012349 (FMN-binding split barrel) GO:0010181 (FMN binding), GO:0016491 (oxidoreductase activity), GO:0055114 (oxidation-reduction process)",Niben101Scf07741g02033.1,3,1,2,3,2,2,5,1,0,1,1,1,2,0,1,1,3,4,3,1,0,4,2,2,2,1,1,3,3,0,1,1,1,1,2,0,1,3,3,3,2,1,2,4,2,2,2,1,3,2,1,1,1,3,2,1,2,0,2,2,3,2,1,2,3,2,1,2,1,1,2,0,2
"    ref|WP_017206512.1| ***- pyridoxamine 5'-phosphate oxidase [Mycobacterium abscessus] IPR012349 (FMN-binding split barrel) GO:0010181 (FMN binding), GO:0016491 (oxidoreductase activity), GO:0055114 (oxidation-reduction process)",Niben101Scf00234g02043.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|Q9LT08|PSDE_ARATH ***- 26S proteasome non-ATPase regulatory subunit 14 homolog IPR000555 (JAB1/MPN/MOV34 metalloenzyme domain), IPR024969 (Rpn11/EIF3F C-terminal domain) GO:0005515 (protein binding) (Niben101Scf07364g00017.1)",Niben101Scf07364g00017.1 [2],6,4,4,6,7,6,2,4,1,3,6,10,6,4,3,8,8,4,4,5,2,6,2,3,4,6,6,6,6,3,6,5,7,2,4,3,4,2,3,3,1,3,1,4,4,7,4,4,2,6,5,2,4,2,2,2,2,1,7,8,5,6,6,3,4,4,4,5,1,0,3,2,2
"    sp|Q9LT08|PSDE_ARATH ***- 26S proteasome non-ATPase regulatory subunit 14 homolog IPR000555 (JAB1/MPN/MOV34 metalloenzyme domain), IPR024969 (Rpn11/EIF3F C-terminal domain) GO:0005515 (protein binding)",Niben101Scf07364g00017.1,6,4,4,6,7,6,2,4,1,3,6,10,6,4,3,8,8,4,4,5,2,6,2,3,4,6,6,6,6,3,6,5,7,2,4,3,4,2,3,3,1,3,1,4,4,7,4,4,2,6,5,2,4,2,2,2,2,1,7,8,5,6,6,3,4,4,4,5,1,0,3,2,2
    sp|P41878|RPN11_SCHPO ***- 26S proteasome regulatory subunit rpn11 IPR000555 (JAB1/MPN/MOV34 metalloenzyme domain) GO:0005515 (protein binding),Niben101Scf15467g02002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sp|Q9LS88|PP250_ARATH *-*- Pentatricopeptide repeat-containing protein IPR002885 (Pentatricopeptide repeat), IPR011990 (Tetratricopeptide-like helical domain) GO:0005515 (protein binding)",Niben101Scf01697g19001.1,2,,9,2,,6,6,1,7,2,7,6,7,5,2,,0,6,4,6,2,2,6,1,7,4,4,1,,,1,5,5,2,2,2,4,4,8,,,0,,5,10,5,6,9,8,1,1,1,3,7,4,4,,1,2,6,5,4,8,2,7,7,1,2,0,1,2,1,
